id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,First flight departure,Second flight departure,Third flight departure,First flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option,Flight depature date,Departure Time,Arrival Time
1,2024-05-19,2024-05-19,9,FI,26.583333333333332,1,FI,226.0,431.17,226.0,LIGHT,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,CPH,3.25, KEF,6.166666666666667,,,22:35:00,17:00:00,,23:50:00,19:10:00,,CPH, KEF,,LIGHT,ALCOHOLIC DRINK,2024-06-17,Evening,Evening
2,2024-05-19,2024-05-19,9,TP,13.333333333333334,1,TP,267.0,434.28,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,CPH,3.8333333333333335, LIS,8.0,,,12:45:00,17:05:00,,15:35:00,20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1,2024-06-17,Afternoon,Evening
3,2024-05-19,2024-05-19,9,TP,20.083333333333332,1,TP,267.0,434.28,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,CPH,3.9166666666666665, LIS,8.0,,,06:00:00,17:05:00,,08:55:00,20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1,2024-06-17,Morning,Evening
4,2024-05-19,2024-05-19,9,TP,32.416666666666664,1,TP,267.0,439.66,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,CPH,3.9166666666666665, LIS,8.0,,,17:40:00,17:05:00,,20:35:00,20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1,2024-06-17,Afternoon,Evening
5,2024-05-19,2024-05-19,1,S4,19.583333333333332,2,S4,191.0,448.25,191.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,06:00:00,12:35:00,17:30:00,08:55:00,14:05:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Morning,Evening
6,2024-05-19,2024-05-19,1,S4,19.583333333333332,2,S4,191.0,448.25,191.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,06:00:00,14:10:00,17:30:00,08:55:00,15:40:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Morning,Evening
7,2024-05-19,2024-05-19,1,S4,31.916666666666668,2,S4,203.0,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,06:00:00,17:30:00,20:35:00,07:30:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Afternoon,Evening
8,2024-05-19,2024-05-19,1,S4,31.916666666666668,2,S4,203.0,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,12:35:00,17:30:00,20:35:00,14:05:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Afternoon,Evening
9,2024-05-19,2024-05-19,1,S4,31.916666666666668,2,S4,203.0,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,14:10:00,17:30:00,20:35:00,15:40:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Afternoon,Evening
10,2024-05-19,2024-05-19,1,S4,36.833333333333336,2,S4,203.0,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,CPH,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,12:45:00,06:00:00,17:30:00,15:35:00,07:30:00,19:35:00,CPH, LIS, PDL,BSC,MEAL,2024-06-17,Afternoon,Evening
